annee;libelle;code_commune;nb_benef_rsa
2012;Abbaretz;44001;41
2010;Aigrefeuille-sur-Maine;44002;31
2012;Aigrefeuille-sur-Maine;44002;33
2013;Aigrefeuille-sur-Maine;44002;33
2014;Aigrefeuille-sur-Maine;44002;35
2014;Ancenis;44003;264
2012;Avessac;44007;47
2013;Barbechat;44008;9
2013;Basse-Goulaine;44009;93
2014;Basse-Goulaine;44009;98
2012;Batz-sur-Mer;44010;64
2012;Belligné;44011;21
2015;Blain;44015;230
2012;Blain;44015;180
2013;Bonnoeuvre;44017;15
2015;Bouaye;44018;103
2015;Bouée;44019;14
2010;Bourgneuf-en-Retz;44021;57
2014;Bourgneuf-en-Retz;44021;70
2012;Boussay;44022;19
2014;Brains;44024;21
2014;Campbon;44025;34
2015;Campbon;44025;31
2012;Carquefou;44026;163
2010;Casson;44027;18
2010;Châteaubriant;44036;384
2014;Châteaubriant;44036;505
2010;Chauvé;44038;23
2012;Clisson;44043;96
2010;Corcoué-sur-Logne;44156;28
2015;Corsept;44046;30
2015;Couëron;44047;436
2011;Derval;44051;50
2012;Derval;44051;54
2013;Donges;44052;159
2014;Fay-de-Bretagne;44056;51
2011;Fresnay-en-Retz;44059;10
2013;Fresnay-en-Retz;44059;17
2015;Frossay;44061;49
2010;Geneston;44223;20
2012;Geneston;44223;30
2014;Gétigné;44063;44
2013;Gorges;44064;45
2010;Grandchamps-des-Fontaines;44066;43
2015;Guémené-Penfao;44067;192
2011;Guémené-Penfao;44067;160
2012;Guenrouet;44068;44
2013;Guérande;44069;296
2011;Héric;44073;50
2010;Indre;44074;75
2012;Indre;44074;89
2011;Jans;44076;19
2014;Joué-sur-Erdre;44077;41
2014;Juigné-des-Moutiers;44078;7
2010;Juigné-des-Moutiers;44078;8
2011;Juigné-des-Moutiers;44078;7
2013;La Boissière-du-Doré;44016;8
2015;La Chapelle-Basse-Mer;44029;79
2012;La Chapelle-Basse-Mer;44029;50
2014;La Chapelle-des-Marais;44030;64
2010;La Chapelle-Glain;44031;15
2014;La Chapelle-Saint-Sauveur;44034;21
2010;La Chapelle-sur-Erdre;44035;166
2015;La Chevallerais;44221;11
2013;La Chevrolière;44041;47
2010;La Grigonnais;44224;19
2013;La Marne;44090;10
2015;La Meilleraye-de-Bretagne;44095;31
2014;La Plaine-sur-Mer;44126;73
2012;La Regrippière;44140;11
2013;La Rouxière;44147;16
2014;La Turballe;44211;98
2015;La Turballe;44211;115
2014;Lavau-sur-Loire;44080;15
2012;Le Cellier;44028;43
2013;Le Cellier;44028;47
2014;Le Croisic;44049;87
2015;Le Croisic;44049;83
2010;Le Gâvre;44062;28
2014;Le Landreau;44079;31
2015;Le Loroux-Bottereau;44084;139
2014;Le Pin;44124;17
2010;Le Pin;44124;19
2010;Le Temple-de-Bretagne;44203;10
2014;Legé;44081;94
2014;Les Sorinières;44198;122
2013;Les Sorinières;44198;107
2015;Les Touches;44205;50
2010;Les Touches;44205;11
2012;Les Touches;44205;24
2010;Malville;44089;27
2015;Marsac-sur-Don;44091;25
2012;Marsac-sur-Don;44091;20
2012;Massérac;44092;20
2010;Maumusson;44093;12
2015;Mauves-sur-Loire;44094;41
2011;Mauves-sur-Loire;44094;22
2014;Mésanger;44096;53
2010;Mésanger;44096;34
2012;Mésanger;44096;39
2015;Moisdon-la-Rivière;44099;56
2011;Moisdon-la-Rivière;44099;43
2013;Moisdon-la-Rivière;44099;44
2013;Montbert;44102;34
2010;Montrelais;44104;10
2015;Mouais;44105;9
2011;Mouais;44105;12
2010;Mouzillon;44108;19
2014;Notre-Dame-des-Landes;44111;25
2014;Orvault;44114;646
2012;Orvault;44114;502
2013;Orvault;44114;562
2014;Paimboeuf;44116;138
2012;Paimboeuf;44116;137
2013;Paimboeuf;44116;139
2013;Petit-Auverné;44121;13
2010;Pierric;44123;18
2012;Pont-Saint-Martin;44130;56
2015;Pontchâteau;44129;233
2010;Pornic;44131;273
2011;Pornic;44131;253
2014;Port-Saint-Père;44133;37
2011;Port-Saint-Père;44133;27
2013;Port-Saint-Père;44133;38
2010;Quilly;44139;16
2011;Quilly;44139;20
2014;Remouillé;44142;17
2014;Rezé;44143;1493
2015;Riaillé;44144;56
