Date,Code département,Département,Code commune,Commune,Sexe,Tranche age,Nombre de demandeurs d_emploi
T4_2014,44,Loire-Atlantique,44001,Abbaretz,Total,Total,155
T4_2014,44,Loire-Atlantique,44001,Abbaretz,Femmes,Total,85
T4_2014,44,Loire-Atlantique,44001,Abbaretz,Total,Moins de 25 ans,20
T4_2014,44,Loire-Atlantique,44002,Aigrefeuille-sur-Maine,Total,Moins de 25 ans,35
T4_2014,44,Loire-Atlantique,44002,Aigrefeuille-sur-Maine,Total,50 ans et plus,35
T4_2014,44,Loire-Atlantique,44003,Ancenis-Saint-Géréon,Hommes,Total,380
T4_2014,44,Loire-Atlantique,44005,Chaumes-en-Retz,Femmes,Total,255
T4_2014,44,Loire-Atlantique,44005,Chaumes-en-Retz,Total,Moins de 25 ans,90
T4_2014,44,Loire-Atlantique,44006,Assérac,Hommes,Total,60
T4_2014,44,Loire-Atlantique,44007,Avessac,Hommes,Total,90
T4_2014,44,Loire-Atlantique,44009,Basse-Goulaine,Total,25 à 49 ans,270
T4_2014,44,Loire-Atlantique,44009,Basse-Goulaine,Total,50 ans et plus,130
T4_2014,44,Loire-Atlantique,44010,Batz-sur-Mer,Total,Total,250
T4_2014,44,Loire-Atlantique,44010,Batz-sur-Mer,Femmes,Total,130
T4_2014,44,Loire-Atlantique,44010,Batz-sur-Mer,Total,25 à 49 ans,135
T4_2014,44,Loire-Atlantique,44010,Batz-sur-Mer,Total,50 ans et plus,75
T4_2014,44,Loire-Atlantique,44012,La Bernerie-en-Retz,Femmes,Total,115
T4_2014,44,Loire-Atlantique,44013,Besné,Total,Moins de 25 ans,45
T4_2014,44,Loire-Atlantique,44013,Besné,Total,50 ans et plus,35
T4_2014,44,Loire-Atlantique,44014,Le Bignon,Total,Total,200
T4_2014,44,Loire-Atlantique,44014,Le Bignon,Hommes,Total,90
T4_2014,44,Loire-Atlantique,44014,Le Bignon,Total,50 ans et plus,40
T4_2014,44,Loire-Atlantique,44015,Blain,Total,Total,765
T4_2014,44,Loire-Atlantique,44016,La Boissière-du-Doré,Total,Total,65
T4_2014,44,Loire-Atlantique,44016,La Boissière-du-Doré,Total,50 ans et plus,10
T4_2014,44,Loire-Atlantique,44018,Bouaye,Total,Total,440
T4_2014,44,Loire-Atlantique,44018,Bouaye,Total,Moins de 25 ans,80
T4_2014,44,Loire-Atlantique,44018,Bouaye,Total,25 à 49 ans,275
T4_2014,44,Loire-Atlantique,44018,Bouaye,Total,50 ans et plus,85
T4_2014,44,Loire-Atlantique,44019,Bouée,Hommes,Total,20
T4_2014,44,Loire-Atlantique,44019,Bouée,Femmes,Total,25
T4_2014,44,Loire-Atlantique,44020,Bouguenais,Femmes,Total,825
T4_2014,44,Loire-Atlantique,44020,Bouguenais,Total,25 à 49 ans,980
T4_2014,44,Loire-Atlantique,44021,Villeneuve-en-Retz,Femmes,Total,210
T4_2014,44,Loire-Atlantique,44021,Villeneuve-en-Retz,Total,50 ans et plus,105
T4_2014,44,Loire-Atlantique,44022,Boussay,Hommes,Total,70
T4_2014,44,Loire-Atlantique,44023,Bouvron,Total,Total,225
T4_2014,44,Loire-Atlantique,44023,Bouvron,Hommes,Total,115
T4_2014,44,Loire-Atlantique,44023,Bouvron,Total,25 à 49 ans,140
T4_2014,44,Loire-Atlantique,44023,Bouvron,Total,50 ans et plus,50
T4_2014,44,Loire-Atlantique,44024,Brains,Hommes,Total,60
T4_2014,44,Loire-Atlantique,44024,Brains,Total,25 à 49 ans,85
T4_2014,44,Loire-Atlantique,44024,Brains,Total,50 ans et plus,30
T4_2014,44,Loire-Atlantique,44025,Campbon,Femmes,Total,135
T4_2014,44,Loire-Atlantique,44025,Campbon,Total,25 à 49 ans,165
T4_2014,44,Loire-Atlantique,44025,Campbon,Total,50 ans et plus,35
T4_2014,44,Loire-Atlantique,44026,Carquefou,Femmes,Total,590
T4_2014,44,Loire-Atlantique,44026,Carquefou,Total,25 à 49 ans,655
T4_2014,44,Loire-Atlantique,44027,Casson,Total,Total,110
T4_2014,44,Loire-Atlantique,44027,Casson,Femmes,Total,60
T4_2014,44,Loire-Atlantique,44027,Casson,Total,Moins de 25 ans,20
T4_2014,44,Loire-Atlantique,44028,Le Cellier,Hommes,Total,110
T4_2014,44,Loire-Atlantique,44028,Le Cellier,Femmes,Total,115
T4_2014,44,Loire-Atlantique,44028,Le Cellier,Total,Moins de 25 ans,35
T4_2014,44,Loire-Atlantique,44028,Le Cellier,Total,50 ans et plus,65
T4_2014,44,Loire-Atlantique,44029,Divatte-sur-Loire,Total,Total,410
T4_2014,44,Loire-Atlantique,44029,Divatte-sur-Loire,Femmes,Total,225
T4_2014,44,Loire-Atlantique,44029,Divatte-sur-Loire,Total,25 à 49 ans,230
T4_2014,44,Loire-Atlantique,44029,Divatte-sur-Loire,Total,50 ans et plus,100
T4_2014,44,Loire-Atlantique,44030,La Chapelle-des-Marais,Hommes,Total,130
T4_2014,44,Loire-Atlantique,44031,La Chapelle-Glain,Hommes,Total,30
T4_2014,44,Loire-Atlantique,44031,La Chapelle-Glain,Total,50 ans et plus,15
T4_2014,44,Loire-Atlantique,44032,La Chapelle-Heulin,Total,Total,175
T4_2014,44,Loire-Atlantique,44032,La Chapelle-Heulin,Total,50 ans et plus,40
T4_2014,44,Loire-Atlantique,44033,La Chapelle-Launay,Total,25 à 49 ans,90
T4_2014,44,Loire-Atlantique,44033,La Chapelle-Launay,Total,50 ans et plus,25
T4_2014,44,Loire-Atlantique,44035,La Chapelle-sur-Erdre,Total,Total,1110
T4_2014,44,Loire-Atlantique,44035,La Chapelle-sur-Erdre,Hommes,Total,530
T4_2014,44,Loire-Atlantique,44035,La Chapelle-sur-Erdre,Femmes,Total,580
T4_2014,44,Loire-Atlantique,44036,Châteaubriant,Total,Total,1035
T4_2014,44,Loire-Atlantique,44036,Châteaubriant,Femmes,Total,530
T4_2014,44,Loire-Atlantique,44036,Châteaubriant,Total,25 à 49 ans,600
T4_2014,44,Loire-Atlantique,44037,Château-Thébaud,Hommes,Total,75
T4_2014,44,Loire-Atlantique,44037,Château-Thébaud,Total,50 ans et plus,25
T4_2014,44,Loire-Atlantique,44038,Chauvé,Hommes,Total,95
T4_2014,44,Loire-Atlantique,44038,Chauvé,Total,Moins de 25 ans,45
T4_2014,44,Loire-Atlantique,44038,Chauvé,Total,25 à 49 ans,115
T4_2014,44,Loire-Atlantique,44039,Cheix-en-Retz,Femmes,Total,20
T4_2014,44,Loire-Atlantique,44039,Cheix-en-Retz,Total,Moins de 25 ans,10
T4_2014,44,Loire-Atlantique,44041,La Chevrolière,Total,25 à 49 ans,215
T4_2014,44,Loire-Atlantique,44043,Clisson,Hommes,Total,245
T4_2014,44,Loire-Atlantique,44043,Clisson,Femmes,Total,300
T4_2014,44,Loire-Atlantique,44043,Clisson,Total,Moins de 25 ans,75
T4_2014,44,Loire-Atlantique,44044,Conquereuil,Hommes,Total,50
T4_2014,44,Loire-Atlantique,44044,Conquereuil,Total,25 à 49 ans,65
T4_2014,44,Loire-Atlantique,44045,Cordemais,Total,Total,210
T4_2014,44,Loire-Atlantique,44045,Cordemais,Total,Moins de 25 ans,40
T4_2014,44,Loire-Atlantique,44045,Cordemais,Total,50 ans et plus,45
T4_2014,44,Loire-Atlantique,44046,Corsept,Hommes,Total,85
T4_2014,44,Loire-Atlantique,44046,Corsept,Femmes,Total,115
T4_2014,44,Loire-Atlantique,44046,Corsept,Total,Moins de 25 ans,50
