Code du département,Libellé du département,Code de la circonscription,Libellé de la circonscription,Code de la commune,Libellé de la commune,Code du b.vote,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimés,% Exp/Ins,% Exp/Vot,N°Panneauct1,Sexect1,Nomct1,Prénomct1,Voixct1,% Voix/Insct1,% Voix/Expct1,N°Panneauct2,Sexect2,Nomct2,Prénomct2,Voixct2,% Voix/Insct2,% Voix/Expct2
44,Loire-Atlantique,06,6ème circonscription,44001,Abbaretz,0001,1456,305,"20,95",1151,"79,05",111,"7,62","9,64",28,"1,92","2,43",1012,"69,51","87,92",1,M,MACRON,Emmanuel,683,"46,91","67,49",2,F,LE PEN,Marine,329,"22,60","32,51"
44,Loire-Atlantique,10,10ème circonscription,44002,Aigrefeuille-sur-Maine,0001,1312,220,"16,77",1092,"83,23",104,"7,93","9,52",27,"2,06","2,47",961,"73,25","88,00",1,M,MACRON,Emmanuel,739,"56,33","76,90",2,F,LE PEN,Marine,222,"16,92","23,10"
44,Loire-Atlantique,10,10ème circonscription,44002,Aigrefeuille-sur-Maine,0002,1347,240,"17,82",1107,"82,18",79,"5,86","7,14",31,"2,30","2,80",997,"74,02","90,06",1,M,MACRON,Emmanuel,756,"56,12","75,83",2,F,LE PEN,Marine,241,"17,89","24,17"
44,Loire-Atlantique,06,6ème circonscription,44003,Ancenis,0001,890,226,"25,39",664,"74,61",51,"5,73","7,68",22,"2,47","3,31",591,"66,40","89,01",1,M,MACRON,Emmanuel,454,"51,01","76,82",2,F,LE PEN,Marine,137,"15,39","23,18"
44,Loire-Atlantique,06,6ème circonscription,44003,Ancenis,0002,960,225,"23,44",735,"76,56",66,"6,88","8,98",12,"1,25","1,63",657,"68,44","89,39",1,M,MACRON,Emmanuel,556,"57,92","84,63",2,F,LE PEN,Marine,101,"10,52","15,37"
44,Loire-Atlantique,06,6ème circonscription,44003,Ancenis,0003,875,238,"27,20",637,"72,80",50,"5,71","7,85",20,"2,29","3,14",567,"64,80","89,01",1,M,MACRON,Emmanuel,425,"48,57","74,96",2,F,LE PEN,Marine,142,"16,23","25,04"
44,Loire-Atlantique,06,6ème circonscription,44003,Ancenis,0004,930,186,"20,00",744,"80,00",76,"8,17","10,22",27,"2,90","3,63",641,"68,92","86,16",1,M,MACRON,Emmanuel,503,"54,09","78,47",2,F,LE PEN,Marine,138,"14,84","21,53"
44,Loire-Atlantique,06,6ème circonscription,44003,Ancenis,0005,964,198,"20,54",766,"79,46",79,"8,20","10,31",28,"2,90","3,66",659,"68,36","86,03",1,M,MACRON,Emmanuel,536,"55,60","81,34",2,F,LE PEN,Marine,123,"12,76","18,66"
44,Loire-Atlantique,06,6ème circonscription,44003,Ancenis,0006,886,131,"14,79",755,"85,21",60,"6,77","7,95",19,"2,14","2,52",676,"76,30","89,54",1,M,MACRON,Emmanuel,537,"60,61","79,44",2,F,LE PEN,Marine,139,"15,69","20,56"
44,Loire-Atlantique,09,9ème circonscription,44005,Chaumes-en-Retz,0001,730,145,"19,86",585,"80,14",49,"6,71","8,38",12,"1,64","2,05",524,"71,78","89,57",1,M,MACRON,Emmanuel,347,"47,53","66,22",2,F,LE PEN,Marine,177,"24,25","33,78"
