Code du département,Libellé du département,Code de la circonscription,Libellé de la circonscription,Code de la commune,Libellé de la commune,Code du b.vote,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimés,% Exp/Ins,% Exp/Vot,N°Panneau,Sexe,Nom,Prénom,Voix,% Voix/Ins,% Voix/Exp,N°Panneauct1,Sexect1,Nomct1,Prénomct1,Voixct1,% Voix/Insct1,% Voix/Expct1
44,Loire-Atlantique,6,6ème circonscription,44001,Abbaretz,0001,1553,442,28.46,1111,71.54,93,5.99,8.37,30,1.93,2.7,988,63.62,88.93,1,M,MACRON,Emmanuel,581,37.41,58.81,2,F,LE PEN,Marine,407,26.21,41.19
44,Loire-Atlantique,10,10ème circonscription,44002,Aigrefeuille-sur-Maine,0001,942,195,20.7,747,79.3,59,6.26,7.9,18,1.91,2.41,670,71.13,89.69,1,M,MACRON,Emmanuel,477,50.64,71.19,2,F,LE PEN,Marine,193,20.49,28.81
44,Loire-Atlantique,10,10ème circonscription,44002,Aigrefeuille-sur-Maine,0002,1046,212,20.27,834,79.73,62,5.93,7.43,15,1.43,1.8,757,72.37,90.77,1,M,MACRON,Emmanuel,509,48.66,67.24,2,F,LE PEN,Marine,248,23.71,32.76
44,Loire-Atlantique,10,10ème circonscription,44002,Aigrefeuille-sur-Maine,0003,1011,200,19.78,811,80.22,52,5.14,6.41,21,2.08,2.59,738,73.0,91.0,1,M,MACRON,Emmanuel,495,48.96,67.07,2,F,LE PEN,Marine,243,24.04,32.93
44,Loire-Atlantique,6,6ème circonscription,44003,Ancenis-Saint-Géréon,0001,957,232,24.24,725,75.76,44,4.6,6.07,19,1.99,2.62,662,69.17,91.31,1,M,MACRON,Emmanuel,469,49.01,70.85,2,F,LE PEN,Marine,193,20.17,29.15
44,Loire-Atlantique,6,6ème circonscription,44003,Ancenis-Saint-Géréon,0002,978,253,25.87,725,74.13,53,5.42,7.31,15,1.53,2.07,657,67.18,90.62,1,M,MACRON,Emmanuel,495,50.61,75.34,2,F,LE PEN,Marine,162,16.56,24.66
44,Loire-Atlantique,6,6ème circonscription,44003,Ancenis-Saint-Géréon,0003,911,255,27.99,656,72.01,50,5.49,7.62,20,2.2,3.05,586,64.32,89.33,1,M,MACRON,Emmanuel,392,43.03,66.89,2,F,LE PEN,Marine,194,21.3,33.11
44,Loire-Atlantique,6,6ème circonscription,44003,Ancenis-Saint-Géréon,0004,943,212,22.48,731,77.52,51,5.41,6.98,23,2.44,3.15,657,69.67,89.88,1,M,MACRON,Emmanuel,472,50.05,71.84,2,F,LE PEN,Marine,185,19.62,28.16
44,Loire-Atlantique,6,6ème circonscription,44003,Ancenis-Saint-Géréon,0005,890,193,21.69,697,78.31,57,6.4,8.18,21,2.36,3.01,619,69.55,88.81,1,M,MACRON,Emmanuel,451,50.67,72.86,2,F,LE PEN,Marine,168,18.88,27.14
44,Loire-Atlantique,6,6ème circonscription,44003,Ancenis-Saint-Géréon,0006,1013,173,17.08,840,82.92,53,5.23,6.31,20,1.97,2.38,767,75.72,91.31,1,M,MACRON,Emmanuel,556,54.89,72.49,2,F,LE PEN,Marine,211,20.83,27.51
44,Loire-Atlantique,6,6ème circonscription,44003,Ancenis-Saint-Géréon,0007,907,195,21.5,712,78.5,55,6.06,7.72,17,1.87,2.39,640,70.56,89.89,1,M,MACRON,Emmanuel,422,46.53,65.94,2,F,LE PEN,Marine,218,24.04,34.06
44,Loire-Atlantique,6,6ème circonscription,44003,Ancenis-Saint-Géréon,0008,916,178,19.43,738,80.57,59,6.44,7.99,15,1.64,2.03,664,72.49,89.97,1,M,MACRON,Emmanuel,467,50.98,70.33,2,F,LE PEN,Marine,197,21.51,29.67
44,Loire-Atlantique,6,6ème circonscription,44003,Ancenis-Saint-Géréon,0009,886,148,16.7,738,83.3,65,7.34,8.81,15,1.69,2.03,658,74.27,89.16,1,M,MACRON,Emmanuel,487,54.97,74.01,2,F,LE PEN,Marine,171,19.3,25.99
44,Loire-Atlantique,9,9ème circonscription,44005,Chaumes-en-Retz,0001,862,185,21.46,677,78.54,45,5.22,6.65,12,1.39,1.77,620,71.93,91.58,1,M,MACRON,Emmanuel,369,42.81,59.52,2,F,LE PEN,Marine,251,29.12,40.48
44,Loire-Atlantique,9,9ème circonscription,44005,Chaumes-en-Retz,0002,532,106,19.92,426,80.08,31,5.83,7.28,7,1.32,1.64,388,72.93,91.08,1,M,MACRON,Emmanuel,192,36.09,49.48,2,F,LE PEN,Marine,196,36.84,50.52
